City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,clear sky,-33.0153,27.9116,67.14,72,0,6.91
1,Antsohihy,MG,broken clouds,-14.8796,47.9875,91.92,39,54,9.93
2,Victoria,HK,broken clouds,22.2855,114.1577,84.18,82,76,17.0
3,Mar Del Plata,AR,broken clouds,-38.0023,-57.5575,44.94,92,75,3.44
4,Stodolishche,RU,overcast clouds,54.1859,32.6492,56.48,56,90,14.07
5,Jamestown,US,fog,42.097,-79.2353,63.99,95,75,6.91
6,Port Shepstone,ZA,light rain,-30.7414,30.455,63.12,79,100,17.47
7,Bengkulu,ID,broken clouds,-3.8004,102.2655,83.39,71,58,4.43
8,Geraldton,AU,overcast clouds,-28.7667,114.6,66.61,77,100,12.66
9,Elizabeth City,US,clear sky,36.2946,-76.2511,75.22,90,0,10.36
10,Aswan,EG,clear sky,24.0934,32.907,92.19,10,2,16.37
11,Alice,US,overcast clouds,27.7523,-98.0697,80.33,74,100,8.05
12,Souillac,MU,broken clouds,-20.5167,57.5167,79.18,69,75,8.05
13,Upernavik,GL,overcast clouds,72.7868,-56.1549,31.12,72,100,8.9
14,Ribeira Grande,PT,broken clouds,38.5167,-28.7,64.8,100,75,3.44
15,Mugumu,TZ,broken clouds,-1.85,34.7,80.24,45,81,3.0
16,Coquimbo,CL,mist,-29.9533,-71.3436,53.33,100,100,4.61
17,Santa Rosa,PH,light rain,14.3122,121.1114,83.1,84,99,3.91
18,Mbekenyera,TZ,overcast clouds,-10.0,38.9833,86.29,40,89,3.2
19,Bereda,ES,broken clouds,43.2686,-7.5406,64.58,89,65,4.83
20,Hermanus,ZA,scattered clouds,-34.4187,19.2345,66.79,66,46,7.87
21,Qaanaaq,GL,overcast clouds,77.484,-69.3632,16.72,84,100,5.23
22,Port Alfred,ZA,clear sky,-33.5906,26.891,69.19,67,3,1.01
23,Richards Bay,ZA,overcast clouds,-28.783,32.0377,66.65,77,90,22.66
24,Ushuaia,AR,broken clouds,-54.8,-68.3,37.06,65,75,3.44
25,Birao,CF,overcast clouds,10.2849,22.7882,98.55,27,100,5.3
26,Taoudenni,ML,clear sky,22.6783,-3.9836,100.0,9,1,14.99
27,Domoni,KM,broken clouds,-12.2569,44.5319,81.68,74,74,10.07
28,Lagoa,PT,overcast clouds,39.05,-27.9833,61.77,90,100,7.27
29,Mozhga,RU,overcast clouds,56.4447,52.2276,40.77,65,98,9.46
30,Cap-Chat,CA,scattered clouds,49.1001,-66.6821,44.6,93,43,6.91
31,Cockburn Town,TC,overcast clouds,21.4612,-71.1419,79.32,78,95,18.61
32,Le Port,RE,clear sky,-20.9373,55.2919,82.4,67,10,3.02
33,Margate,GB,broken clouds,51.3813,1.3862,66.11,70,51,6.49
34,Mangrol,IN,scattered clouds,21.1167,70.1167,86.81,71,39,20.29
35,Hualmay,PE,overcast clouds,-11.0964,-77.6139,62.76,89,93,4.36
36,Trincomalee,LK,overcast clouds,8.5711,81.2335,91.76,52,96,20.96
37,Ilulissat,GL,light rain,69.2167,-51.1,42.82,70,100,19.57
38,Narsaq,GL,heavy intensity rain,60.9167,-46.05,35.82,98,100,9.93
39,Nicolas Bravo,MX,overcast clouds,18.45,-88.9167,79.29,86,100,6.51
40,Segou,ML,broken clouds,13.4317,-6.2157,92.35,33,80,10.09
41,Tasiilaq,GL,broken clouds,65.6145,-37.6368,33.96,67,80,3.09
42,Teslic,BA,broken clouds,44.6064,17.8597,73.18,58,69,5.53
43,Saint-Philippe,RE,light rain,-21.3585,55.7679,81.99,77,15,12.88
44,Sorland,NO,overcast clouds,67.667,12.6934,46.26,91,100,9.8
45,Oussouye,SN,overcast clouds,12.485,-16.5469,80.78,52,90,7.36
46,Mehamn,NO,overcast clouds,71.0357,27.8492,42.71,92,100,2.89
47,Hamilton,US,mist,39.1834,-84.5333,66.83,97,0,5.75
48,Gananoque,CA,overcast clouds,44.3334,-76.1661,63.99,98,95,5.61
49,Carbonia,IT,clear sky,39.1672,8.5222,88.02,26,2,7.78
50,Praia Da Vitoria,PT,mist,38.7333,-27.0667,64.76,100,75,4.29
51,Kuusamo,FI,shower rain,65.9667,29.1833,41.04,87,100,8.05
52,Hithadhoo,MV,broken clouds,-0.6,73.0833,83.91,70,80,14.65
53,Busselton,AU,overcast clouds,-33.65,115.3333,61.38,75,100,22.19
54,Nioro,GM,overcast clouds,13.35,-15.75,84.31,38,92,5.93
55,Codrington,AU,clear sky,-38.2667,141.9667,48.11,91,6,6.91
56,Trairi,BR,overcast clouds,-3.2778,-39.2689,74.01,93,86,4.63
57,Vryburg,ZA,clear sky,-26.9566,24.7284,60.87,51,5,8.75
58,Micheweni,TZ,overcast clouds,-4.9667,39.8333,83.52,67,100,13.96
59,Dikson,RU,overcast clouds,73.5069,80.5464,29.16,85,100,11.52
60,Novorzhev,RU,broken clouds,57.0294,29.3338,55.58,39,70,10.49
61,Rio Grande,BR,overcast clouds,-32.035,-52.0986,43.95,86,99,5.5
62,Cape Town,ZA,few clouds,-33.9258,18.4232,68.11,66,20,5.75
63,Sao Filipe,CV,broken clouds,14.8961,-24.4956,71.04,78,62,10.02
64,Sol-Iletsk,RU,overcast clouds,51.1631,54.9918,54.32,52,100,12.68
65,Boldumsaz,TM,broken clouds,42.1282,59.671,71.65,32,76,6.98
66,Touros,BR,broken clouds,-5.1989,-35.4608,76.08,88,63,11.65
67,Chingirlau,KZ,overcast clouds,51.095,54.0814,55.35,48,100,11.01
68,Yar-Sale,RU,overcast clouds,66.8333,70.8333,37.08,75,100,19.1
69,Moshenskoye,RU,clear sky,58.5102,34.5911,48.6,32,10,9.01
70,Dingle,PH,overcast clouds,10.9995,122.6711,80.67,82,100,3.98
71,Mitsamiouli,KM,broken clouds,-11.3847,43.2844,81.91,68,60,7.31
72,Manbij,SY,broken clouds,36.5281,37.9549,88.74,9,74,15.17
73,Porlamar,VE,few clouds,10.958,-63.8491,78.89,89,17,5.75
74,Longyearbyen,SJ,broken clouds,78.2186,15.6401,37.24,70,75,6.91
75,Saldanha,ZA,few clouds,-33.0117,17.9442,68.05,65,21,2.89
76,Nantucket,US,mist,41.2835,-70.0995,62.71,94,0,5.75
77,Carnarvon,AU,clear sky,-24.8667,113.6333,73.11,64,1,16.71
78,Mgandu,TZ,overcast clouds,-5.95,34.1333,79.63,40,89,7.47
79,Umm Lajj,SA,clear sky,25.0213,37.2685,83.12,58,3,20.07
80,Pinsk,BY,overcast clouds,52.1229,26.0951,48.79,87,100,15.32
81,Strezhevoy,RU,few clouds,60.7333,77.5889,74.97,41,13,16.69
82,Bredasdorp,ZA,scattered clouds,-34.5322,20.0403,67.05,52,47,8.41
83,Cidreira,BR,overcast clouds,-30.1811,-50.2056,54.95,80,99,2.13
84,San Luis,AR,overcast clouds,-33.295,-66.3356,52.97,45,100,9.91
85,Henties Bay,NA,clear sky,-22.116,14.2845,73.94,27,0,6.58
86,Bandarbeyla,SO,overcast clouds,9.4942,50.8122,98.06,38,100,17.83
87,Lakhdenpokhya,RU,clear sky,61.5198,30.1992,50.31,34,2,3.76
88,Kruisfontein,ZA,few clouds,-34.0033,24.7314,66.88,55,16,1.61
89,Roald,NO,clear sky,62.5833,6.1333,60.91,58,0,8.05
90,San Ramon,US,clear sky,37.7799,-121.978,58.51,74,0,4.61
91,Sisimiut,GL,light rain,66.9395,-53.6735,38.03,83,100,34.76
92,Abalak,RU,light rain,58.1286,68.5944,47.03,82,100,10.89
93,Arraial Do Cabo,BR,few clouds,-22.9661,-42.0278,62.46,94,20,0.0
94,Yining,CN,light rain,29.0361,114.5636,67.73,93,100,3.56
95,Pangnirtung,CA,overcast clouds,66.1451,-65.7125,23.92,78,85,6.91
96,Cascais,PT,broken clouds,38.6979,-9.4215,67.51,73,75,25.01
97,Astolfo Dutra,BR,few clouds,-21.3153,-42.8622,59.67,92,16,1.54
98,Rodrigues Alves,BR,overcast clouds,-7.738,-72.6509,72.59,85,100,2.35
99,Saint-Alexandre,FR,broken clouds,44.2278,4.6214,84.97,36,77,4.83
100,Ornskoldsvik,SE,few clouds,63.2909,18.7153,59.95,41,20,13.8
101,Ambovombe,MG,clear sky,-25.1667,46.0833,80.26,42,0,5.14
102,Vila Franca Do Campo,PT,overcast clouds,37.7167,-25.4333,70.2,95,99,3.38
103,Berlevag,NO,overcast clouds,70.8578,29.0864,42.75,81,100,6.91
104,Egra,CZ,scattered clouds,50.0796,12.3739,66.29,59,41,3.98
105,Noyabrsk,RU,broken clouds,63.1994,75.4507,64.51,43,64,25.32
106,Matara,LK,few clouds,5.9485,80.5353,83.71,77,23,15.08
107,Dawlatabad,AF,clear sky,36.4141,64.9053,72.9,28,9,9.91
108,Kavaratti,IN,moderate rain,10.5669,72.642,82.11,81,100,16.91
109,Yako,BF,overcast clouds,12.9667,-2.2667,94.08,33,87,13.22
110,Port Elizabeth,ZA,scattered clouds,-33.918,25.5701,69.1,62,31,2.19
111,Punta Arenas,CL,scattered clouds,-53.15,-70.9167,33.91,80,40,10.36
112,Opuwo,NA,clear sky,-18.0607,13.84,72.48,11,0,12.39
113,Luanda,AO,broken clouds,-8.8368,13.2343,76.15,70,77,5.79
114,Aragarcas,BR,few clouds,-15.8975,-52.2508,51.15,59,22,2.3
115,Laguna,US,clear sky,38.421,-121.4238,62.64,57,0,4.61
116,Omboue,GA,broken clouds,-1.5746,9.2618,81.34,69,80,9.62
117,Beloha,MG,clear sky,-25.1667,45.05,87.21,23,1,4.25
118,Porbandar,IN,scattered clouds,21.6422,69.6093,87.01,71,42,22.1
119,Asfi,MA,overcast clouds,32.2994,-9.2372,70.95,65,100,14.72
120,Pavilosta,LV,overcast clouds,56.8879,21.1859,51.71,71,100,10.58
121,Qaqortoq,GL,heavy intensity rain,60.7167,-46.0333,37.26,95,100,16.78
122,Bathsheba,BB,few clouds,13.2167,-59.5167,81.21,78,20,16.11
123,Coruripe,BR,overcast clouds,-10.1256,-36.1756,77.4,76,87,14.47
124,Aksu,CN,overcast clouds,41.1231,80.2644,86.95,15,100,12.46
125,Wilmington,US,clear sky,34.2257,-77.9447,75.11,82,0,8.05
126,Nakonde,ZM,scattered clouds,-9.3421,32.745,78.53,43,47,1.86
127,Taybad,IR,clear sky,34.74,60.7756,71.56,26,0,21.16
128,Castro,BR,clear sky,-24.7911,-50.0119,41.2,81,6,2.93
129,Constitucion,CL,overcast clouds,-35.3333,-72.4167,52.9,73,100,1.59
