City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hlotse,LS,2022-05-19 03:14:19,-28.8718,28.045,43.36,80,43,0.74
1,Uaua,BR,2022-05-19 03:14:20,-9.8414,-39.4817,77.85,64,79,2.35
2,Tasiilaq,GL,2022-05-19 03:14:20,65.6145,-37.6368,37.56,93,100,5.3
3,Muros,ES,2022-05-19 03:14:21,42.7762,-9.0603,52.16,95,60,5.3
4,Dikson,RU,2022-05-19 03:14:21,73.5069,80.5464,30.94,95,99,15.64
5,Cape Town,ZA,2022-05-19 03:14:21,-33.9258,18.4232,55.35,90,43,1.99
6,Asfi,MA,2022-05-19 03:14:22,32.2994,-9.2372,65.05,89,15,14.9
7,Luderitz,NA,2022-05-19 03:14:22,-26.6481,15.1594,58.41,92,56,9.73
8,Cayenne,GF,2022-05-19 03:14:22,4.9333,-52.3333,74.08,1,75,2.3
9,Valparaiso,CL,2022-05-19 03:14:05,-33.0393,-71.6273,55.47,83,100,5.75
10,Oliva,ES,2022-05-19 03:14:23,38.9197,-0.1194,69.67,91,15,1.99
11,Warud,IN,2022-05-19 03:14:23,21.4667,78.2667,92.05,39,10,9.31
12,Felanitx,ES,2022-05-19 03:14:23,39.4696,3.1483,66.13,85,11,4.41
13,Itarema,BR,2022-05-19 03:11:25,-2.9248,-39.9167,77.76,90,100,6.93
14,Quatre Cocos,MU,2022-05-19 03:14:24,-20.2078,57.7625,72.09,74,27,16.08
15,Nantucket,US,2022-05-19 03:12:35,41.2835,-70.0995,57.31,81,0,10.36
16,Berlevag,NO,2022-05-19 03:14:24,70.8578,29.0864,33.8,75,100,14.97
17,Nouadhibou,MR,2022-05-19 03:14:24,20.931,-17.0347,66.31,82,40,21.61
18,Belmonte,BR,2022-05-19 03:14:25,-15.8631,-38.8828,76.28,86,99,8.81
19,Birin,NP,2022-05-19 03:14:25,26.8865,88.0718,69.93,63,0,4.38
20,Marystown,CA,2022-05-19 03:14:25,47.1666,-55.1483,43.86,100,5,8.97
21,Punta Arenas,CL,2022-05-19 03:14:26,-53.15,-70.9167,41.11,93,0,11.5
22,East London,ZA,2022-05-19 03:14:26,-33.0153,27.9116,72.68,46,16,5.08
23,Zhanaozen,KZ,2022-05-19 03:14:26,43.3,52.8,66.99,40,6,8.41
24,Georgetown,MY,2022-05-19 03:14:27,5.4112,100.3354,87.73,74,20,2.3
25,Bredasdorp,ZA,2022-05-19 03:14:27,-34.5322,20.0403,57.61,70,98,15.55
26,Salinopolis,BR,2022-05-19 03:14:27,-0.6136,-47.3561,77.92,87,100,3.65
27,Port Alfred,ZA,2022-05-19 03:14:27,-33.5906,26.891,61.18,82,65,9.37
28,Iroquois Falls,CA,2022-05-19 03:14:28,48.7669,-80.6831,49.6,58,100,4.0
29,Adre,TD,2022-05-19 03:14:28,13.4667,22.2,77.88,22,58,4.47
30,Keuruu,FI,2022-05-19 03:14:28,62.2667,24.7,42.98,82,100,4.38
31,Bubaque,GW,2022-05-19 03:14:29,11.2833,-15.8333,78.1,84,4,10.02
32,Fort Myers Beach,US,2022-05-19 03:11:36,26.452,-81.9481,80.67,76,100,0.0
33,Bauchi,NG,2022-05-19 03:14:29,10.5,10.0,79.97,58,99,5.19
34,Buraydah,SA,2022-05-19 03:14:30,26.326,43.975,82.98,16,0,2.82
35,Sechura,PE,2022-05-19 03:14:30,-5.5569,-80.8222,68.32,76,83,13.51
36,Hithadhoo,MV,2022-05-19 03:14:30,-0.6,73.0833,83.1,75,100,12.91
37,Qaanaaq,GL,2022-05-19 03:14:31,77.484,-69.3632,25.9,91,100,3.13
38,Taloqan,AF,2022-05-19 03:14:31,36.7361,69.5345,79.02,30,88,1.63
39,Tabuk,PH,2022-05-19 03:14:31,17.4189,121.4443,78.21,82,100,5.1
40,Upernavik,GL,2022-05-19 03:14:32,72.7868,-56.1549,14.43,99,39,6.08
41,Jardim,BR,2022-05-19 03:14:32,-21.4803,-56.1381,44.89,78,0,3.69
42,Karlskrona,SE,2022-05-19 03:14:32,56.1616,15.5866,43.25,80,100,5.7
43,Pokhara,NP,2022-05-19 03:14:32,28.2333,83.9833,84.74,32,4,4.27
44,Bonfim,BR,2022-05-19 03:14:33,3.0833,-59.95,72.79,93,100,2.8
45,Souillac,MU,2022-05-19 03:14:33,-20.5167,57.5167,73.83,76,40,14.94
46,Ortona,IT,2022-05-19 03:14:33,42.3496,14.4039,62.38,83,0,5.86
47,Jamestown,US,2022-05-19 03:12:03,42.097,-79.2353,50.52,93,100,6.91
48,Krk,HR,2022-05-19 03:14:34,45.0258,14.5731,61.79,75,0,11.3
49,Canutama,BR,2022-05-19 03:14:34,-6.5339,-64.3831,67.03,76,100,3.33
50,Ribeira Grande,PT,2022-05-19 03:14:34,38.5167,-28.7,59.07,73,81,23.69
51,Waddan,LY,2022-05-19 03:14:35,29.1614,16.139,67.37,34,0,4.05
52,Hermanus,ZA,2022-05-19 03:14:40,-34.4187,19.2345,55.8,71,72,16.44
53,Lebu,CL,2022-05-19 03:14:40,-37.6167,-73.65,51.91,86,100,16.02
